scene	start	end	frames	duration	tl_frame	inner_cut_rel	cut_on_boundary	lyrics_asr	title	lyrics_screenplay	framing	continuity	inner_cuts	screenplay
0	-	-	124	5.1667	0	0.000	no		Vorspann Nahaufnahme des Teiches. Schild		close-up, tracking move			Vorspann Nahaufnahme des Teiches. Schild weht sachte im Wind. Libellen schwirren umher. Kameradolly langsam links nach rechts. Ab und zu Windböe die das Schilf bewegt => rauschen des Schilfs In der Ferne leicht verschwommen ein Bauernhofgebäude/Stall Hintergrundgeräusche => Gackern, Zwitschern, Schweine, Kühe (nur hören), Wasser gluckern
1	0.000	6.583	158	6.5833	124	0.000	no	Ich bin sehr traurig, hab' kaputt vom Teich	Musik setzt ein Vogelperspektive auf		bird's eye, straight down, zoom in			Musik setzt ein Vogelperspektive auf das Gelände Langsamer Zoom auf den Teich Anfangs nur ein schwarzer kleiner Schatten im Wasser Wird deutlicher dass es ein Frosch von oben ist Schatten/Frosch macht langsame schwimmartige Bewegungen mit den Beinen und kommt ruckartig voran, wie beim Abstoßen im Wasser Erreicht in der Zeit das Ufer zur Hälfte
2	6.458	13.042	158	6.5833	279	0.000	no	Ich bin sehr traurig, hab' kaputt vom Teich	Overshoulder/ hinter dem Frosch auf		over the shoulder, from behind			Overshoulder/ hinter dem Frosch auf höhe des Wasserspiegels Frosch macht ruckartige, langsame Schwimmbewegungen Fliegen schwirren umher, Frosch interessiert das nicht, er hält auf verschwommenen Bauernhof zu Am Ende der Szene erreicht er das Ufer
3	12.375	17.542	124	5.1667	421	0.000	no	Ich bin sehr traurig, hab' kaputt vom Teich	Kamera von der Seite zwischen		profile, side on, worm's eye, at ground level			Kamera von der Seite zwischen Ufer und Wasser. Auf Bodenebene. Frosch stützt sich mit den Armen ans Ufer und hieft sich träge aus dem Wasser. Platscht auf den Bauch und bleibt mit dem Gesicht nach unten erstmal liegen
4	15.500	20.667	124	5.1667	496	0.000	no	Ich bin sehr traurig, hab' kaputt vom Teich / Meine Haut ist glipsisch und trotzdem weich	Top Down Closeup auf den		bird's eye, straight down, close-up, locked off, zoom in, tracking move			Top Down Closeup auf den gesamten Frosch im Gras. Noch auf dem Bauch liegend. Man sieht wie er schnauft, oder erschöpft ausatmet. Aber nur an der Bewegung des Rückens. Liegt noch mit dem Gesicht nach unten. Dreht sich mit einem angestrengten Schwung auf den Rücken. Frosch liegt auf dem Rücken und schaut nun nach oben. Kamera bleibt statisch, eventuell ganz leichter langsamer Zoom oder ruhige Dolly-Fahrt
5	18.583	23.750	124	5.1667	570	0.000	no	Ich bin sehr traurig, hab' kaputt vom Teich / Meine Haut ist glipsisch und trotzdem weich / Die Fliegen schwören noch mal ein Gesicht	Ich sitze traurig am Rand	Ich sitze traurig am Rand vom Teich	close-up			Closeup auf das Gesicht des Frosches Glasiger Blick Wolken spiegeln sich leicht in den Augen
6	21.208	26.375	124	5.1667	633	0.000	no	Meine Haut ist glipsisch und trotzdem weich / Die Fliegen schwören noch mal ein Gesicht / Ich kann sie pressen, aber Hunger hab ich nicht	Meine Haut ist glibschig und	Meine Haut ist glibschig und trotzdem weich	worm's eye, at ground level, tracking move			Kamera auf Grashöhe. Langsame Dolly-Fahrt von Kopf bis Fuß des Frosches Man sieht die Haut im Sonnenlicht glänzen
7	23.792	30.375	158	6.5833	695	0.000	no	Die Fliegen schwören noch mal ein Gesicht / Ich kann sie pressen, aber Hunger hab ich nicht / Sie sagt, meine Augen sind zu groß	Die Fliegen schwirren um mein	Die Fliegen schwirren um mein Gesicht, ich könnt' sie fressen aber Hunger hab ich nicht	extreme close-up, close-up			Stärkeres Closeup auf das Frosch-Gesicht Fliegen umschwirren es. Frosch fährt die Zunge träge aus, aber nur um wie ein Gecko sein Auge abzulecken. Erneut ein träges, müdes ausatmen, schnaufen
8	29.792	34.958	124	5.1667	839	0.000	no	Sie sagt, meine Augen sind zu groß	Ansicht des Frosches von der		profile, side on, worm's eye, at ground level, over the shoulder			Ansicht des Frosches von der Seite auf Grashöhe. Der Frosch dreht sich wieder auf den Bauch und lehnt den Kopf müde auf die Hände. Cut auf Over-Shoulder-View. Die Kamera fokussiert nun in der Ferne den Hühnerstall vor dem Bauernhof/Kuhstall
9	33.000	38.167	124	5.1667	916	0.000	no	Sie sagt, meine Augen sind zu groß / Seh erst am Fibien, was ist da los?	Sie sagt meine Augen sind	Sie sagt meine Augen sind zu groß				In der Mitte des Bildschrims läuft ein Huhn langsam und stolz umher und pickt Körner
10	36.458	41.625	124	5.1667	999	0.000	no	Seh erst am Fibien, was ist da los?	[viel zu groß]	[viel zu groß]	extreme close-up			Super Cut auf die Augen des Frosches. Das Huhn spiegelt sich in den sehnsüchtig guckenden Froschaugen
11	38.542	43.708	124	5.1667	1049	0.000	no	Seh erst am Fibien, was ist da los?	Sie hasst Amphibien, was ist	Sie hasst Amphibien, was ist da los	from behind, worm's eye, at ground level, locked off	hold		Kamera hinter dem Huhn. Auf dem Boden. Man sieht das Huhn komplett picken. Es hebt den Kopf und schaut in Richtung Teich. Verächtlich dreht es sich um und läuft im Hühner-Gang aus dem Bild. Kamera bleibt stehen (First <> Last Frame)
12	42.917	48.083	124	5.1667	1154	0.000	no	Ich bin ein Frosch, was soll ich tun? / Bin arg verknallt, denn nun unsere Welt	Langsamer Fokus von der vorherigen		focus rack, worm's eye, at ground level	chain		Langsamer Fokus von der vorherigen Position auf den Teich. Der Frosch liegt noch auf dem Boden, schaut in Richtung Kamera
13	44.167	49.333	124	5.1667	1184	0.000	no	Ich bin ein Frosch, was soll ich tun? / Bin arg verknallt, denn nun unsere Welt	Ich bin ein Frosch! Was	Ich bin ein Frosch! Was soll ich tun?	close-up, front on, eye level			Close Up Frosch. Frontalansicht. Frosch sagt die Wörter. Der Frosch schlägt dabei mit einer Faust verzweifelt wütend auf den grasigen Boden
14	46.750	56.167	226	9.4167	1246	2.833	yes	Bin arg verknallt, denn nun unsere Welt / Weit auseinander, doch bestimmt nur füreinander / Stell dir unsere Kinder vor	Bin argh verknallt in ein	Bin argh verknallt in ein Huhn. / Uns’re Welten, weit auseinander. / Doch bestimmt nur für einander.	profile, side on	hold	2.833,5.958	Seitenansicht. Kamera neben dem Frosch. Frosch rechts, Blickrichtung links. Dramatisch wie bei einigen Animes: Frosch hält die Faust auf seinem Herzen vor seiner Brust. Schaut traurig nach unten mit geschlossenen Augen. Sagt die Wörter. Im Himmel dahinter erscheint oben links, halb transparent das Profil des Huhns. (First <> Last Frame) || (First <> Last Frame) Kamera bleibt so. Szene bleibt so. Nur der Frosch öffnet die Augen und eine Träne glitzert im Augenwinkel während er nach oben gen Himmel schaut. Dort ist noch immer das Hühnergesicht || (First <> Last Frame) Weiterhin gleicher Ausschnitt und gleiche Ansicht. Der Frosch wischt sich die Träne aus dem Auge und schaut trotzig und singt Er setzt sich in Bewegung und hüpft los. Kamera bleibt auf gleicher Höhe aber bewegt sich mit einer Dolly-Fahrt mit
15	55.708	61.583	141	5.8750	1461	0.000	no	Stell dir unsere Kinder vor / Schleimtige Federn, große Augen	Stell dir unsre Kinder vooooor	Stell dir unsre Kinder vooooor	zoom in, zoom out, worm's eye, at ground level			Man sieht das Huhn auf einem Stuhl sitzen und Häkeln. Die Kamera zoomt raus und man sieht vor dem Huhn drei kleine Federphibien die auf dem Boden mit (Kaulquappen-)Plüschtieren spielen
16	55.708	67.958	294	12.2500	1461	5.500	no	Stell dir unsere Kinder vor / Schleimtige Federn, große Augen / Geht weg zum Fliegen, rolle Schwimmenshaufen	Wir brauchen hier eine endlose		tracking move		5.500	Wir brauchen hier eine endlose Loop Variante der Dolly-Fahrt neben dem hüpfenden Frosches. Man sieht in weiter hüpfen und das Gras rauscht vorbei. Da er faktisch nur 2 Meter überbrücken muss, bewegt sich der Hintergrund sehr langsam mit. Der Frosch der hüpft nimmt dabei ⅓ des Bildschirms ein und der Himmel lässt einen großen Bereich frei für die Zukunftsvisionen. Wir brauchen an der Stille nur das was dann gleichzeitig im Himmel halbtransparent eingeblendet wird. Es sind die Zukunftsvisionen die am Ende visuell platziert werden :
17	61.458	66.625	124	5.1667	1599	0.000	no	Schleimtige Federn, große Augen / Geht weg zum Fliegen, rolle Schwimmenshaufen	Schleimige Federn …	Schleimige Federn …	zoom in			Die Kamera fährt mit zwei Cuts die Eigenschaften der Federphibien ab. Zoom auf die schleim-benetzten Federn
18	63.542	68.708	124	5.1667	1649	0.000	no	Schleimtige Federn, große Augen / Geht weg zum Fliegen, rolle Schwimmenshaufen	... große Auuuugen [so große	... große Auuuugen [so große Augen!]	zoom in			Zoom auf große Glubschaugen. Träges blinzeln. Zunge wischt über Augen
19	67.500	72.667	124	5.1667	1744	0.000	no	Geht weg zum Fliegen, rolle Schwimmenshaufen / Federn, wie den Goldmann sie nennen	die nicht zum fliegen oder	die nicht zum fliegen oder schwimmen taugen	aerial, travelling, profile, side on, from behind			Langsamer Drohnenflug entlang des Teich wo tote Federphibien schwimmen (rücken nach oben). Blick von der Seite. Flug hin zu einem Mann, der auf einem Stuhl am Teich sitzt. Blick von hinten. Anfangs verschwommen
